Publisher,Latitude,Longitude,Formatted address,Website,Type of Publisher,Genres Published,Year Established,Distributor
Cornerstone Press,44.5235792,-89.574563,"Stevens Point, WI, USA",http://www.uwsp.edu/cornerstone,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Environment Nature, Essays",1984-01-01,
Corpus Callosum Press LLC,40.5862583,-98.3898726,"Hastings, NE, USA",https://www.corpuscallosumpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Experimental, Feminist, Humor, Interviews, Visual Art",2017-01-01,
Coverstory books,53.387762,-0.333285,"Market Rasen LN8, UK",http://coverstorybooks.com,Press,"Fiction, Poetry",2017-01-01,
Coyote Arts,35.0843859,-106.650422,"Albuquerque, NM, USA",https://coyote-arts.com/,Press,"Fiction, Poetry, Essays, Translation, Visual Art",2020-01-01,
Crisis Chronicles Press,41.3916411,-81.7021049,"Cleveland, OH 44134, USA",http://ccpress.blogspot.com/,Press,"Fiction, Poetry, Visual Art",2008-01-01,
Cult. Magazine/Cult. Press,40.6781784,-73.9441579,"Brooklyn, NY, USA",https://www.cultmag.net/,"Magazine, Press","Audio, Essays, Fiction, Graphic Novels Comics, Poetry, Reviews, Translation, Visual Art",2022-01-01,
Curious Curls Publishing,40.4386612,-79.9972352,"Pittsburgh, PA, USA",https://www.curiouscurlspublishing.com/,Press,"Fiction, Poetry, Visual Art",2021-01-01,
Day Eight,38.9072873,-77.0369274,"Washington, DC, USA",http://dayeight.org,"Magazine, Press","Poetry, Reviews",2007-01-01,
Deerbrook Editions,43.8132979,-70.3870587,"Cumberland County, ME, USA",http://www.deerbrookeditions.com,Press,"Fiction, Poetry",2002-01-01,Publisher website
DENSE,40.7315293,-74.1744671,"Newark, NJ, USA",https://www.densemagazine.org,"Magazine, Online, Press","Creative Nonfiction, Poetry, Cross Genre Hybrid, Environment Nature, Essays, Experimental, Graphic Novels Comics, Regional, Sci Fi Fantasy Speculative, Visual Art",2021-01-01,
Diálogos / Lavender Ink,29.9508941,-90.0758356,"New Orleans, LA, USA",http://www.lavenderink.org,Press,"Fiction, Poetry, Translation, Visual Art",1995-01-01,
DILIM Press,38.7745565,-75.1393498,"Lewes, DE 19958, USA",https://www.dilimpress.com/,Press,"Fiction, Poetry, Experimental, Sci Fi Fantasy Speculative",2026-01-01,
DISCOUNT GUILLOTINE,40.7432847,-73.8549518,"Queens, NY, USA",https://www.discountguillotine.com,"Magazine, Press","Fiction, Poetry, Cross Genre Hybrid, Essays, Feminist, Interviews, Reviews, Translation",2024-01-01,
Downingfield Press,-37.8136276,144.9630576,"Melbourne VIC, Australia",https://downingfield.com/,Press,"Essays, Fiction, Poetry, Visual Art",2017-01-01,
Dream Pop Press,37.2709116,-79.9449495,"Roanoke, VA, USA",https://www.dreampoppress.net,Press,"Poetry, Reviews, Visual Art",2017-01-01,
DSTL Arts,34.0549076,-118.242643,"Los Angeles, CA, USA",https://DSTLArts.org,Press,"Fiction, Poetry, Essays, Graphic Novels Comics, Visual Art",2012-01-01,Publisher website
Dulzorada Press,32.9136363,-96.6364294,"Garland, TX, USA",http://dulzorada.com,Press,"Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",2019-01-01,
EastOver Press,41.7549658,-70.8452677,"Rochester, MA, USA",https://www.eastoverpress.com,"Online, Press","Essays, Fiction, Poetry, Visual Art",2020-01-01,
Echo Thread Books,40.4201165,-74.7146817,"Skillman, Montgomery, NJ 08558, USA",https://www.echothreadprojects.com,Press,Poetry,2024-01-01,
Edition Monhardt,52.4631759,13.3204022,"12163 Berlin-Steglitz-Zehlendorf, Germany",https://www.monhardt.de,Press,"Essays, Fiction, Poetry, Translation, Visual Art",2015-01-01,
Erie Street Press,41.8799533,-87.7795563,"Oak Park, IL, USA",https://www.eriestreetpress.com/,Press,Poetry,1979-01-01,
Etruscan Press,41.2459149,-75.8813075,"Wilkes-Barre, PA, USA",http://www.etruscanpress.org,Press,"Fiction, Poetry, Essays, Translation, Visual Art",2001-01-01,
Ex Ophidia Press,41.2565369,-95.9345034,"Omaha, NE, USA",https://exophidiapress.org,Press,Poetry,2016-01-01,
Fahmidan Journal,51.5072178,-0.1275862,"London, UK",https://www.fahmidan.net/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Criticism Reviews, Environment Nature, Essays, Feminist, Flash Fiction, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Political, Regional, Reviews, Sci Fi Fantasy Speculative, Visual Art",2020-01-01,Amazon
"Fallen Tree Press, LLC",39.0992752,-76.8483061,"Laurel, MD, USA",https://www.fallentreepress.com,Press,Poetry,2022-01-01,
Featherproof Books,41.9013087,-87.6827676,"Chicago, IL 60622, USA",http://www.featherproof.com,Press,"Essays, Fiction, Poetry, Visual Art",2005-01-01,
FENCE,40.7643574,-73.9234619,"Astoria, Queens, NY, USA",http://www.fenceportal.org,"Magazine, Press","Fiction, Poetry, Audio, Essays, Reviews, Translation, Visual Art",1998-01-01,Ingram
Feral Dove,39.9525839,-75.1652215,"Philadelphia, PA, USA",https://feraldove.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Drama, Essays, Experimental, Interviews, Sci Fi Fantasy Speculative, Visual Art",2020-01-01,
Fernwood Press,45.3003268,-122.9761318,"Newberg, OR 97132, USA",https://www.fernwoodpress.com/,Press,Poetry,2018-01-01,
Fifth Stanza Press,37.3841066,-122.2352443,"Portola Valley, CA, USA",https://www.fifthstanzapress.com/,Press,Poetry,2026-01-01,
fifth wheel press,39.4195499,-76.7802528,"Owings Mills, MD, USA",http://fifthwheelpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Drama, Essays, Experimental, Flash Fiction, Interviews, Reviews, Visual Art",2019-01-01,Asterism Books
First Matter Press,45.515232,-122.6783853,"Portland, OR, USA",https://www.firstmatterpress.org/,Press,"Essays, Fiction, Poetry, Visual Art",2017-01-01,
Flipped Mitten Press,41.4655515,-85.5876163,"Ligonier, IN 46767, USA",https://www.flippedmittenpress.com/,Press,"Fiction, Poetry, Visual Art",2021-01-01,
Foofaraw,38.2975381,-122.286865,"Napa, CA, USA",https://foofaraw.press,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Criticism Reviews, Essays, Graphic Novels Comics, Interviews, Sci Fi Fantasy Speculative",2022-01-01,
Fork Apple Press,42.3875968,-71.0994968,"Somerville, MA, USA",https://www.forkapplepress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Environment Nature, Essays, Experimental, Feminist, Graphic Novels Comics, Interviews, Reviews",2024-01-01,
